year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1977,August,165.65,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1805
1979,M01,41.8,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,86
1977,June,142.76,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1807
1977,M01,40.8,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,88
1977,April,128.77,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1809
1974,M01,41.4,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,91
1977,February,136.17,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1811
1972,M01,41.1,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,93
1976,December,137.41,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1813
1988,M01,442.50,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,95
1976,October,137.97,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1815
1986,M01,442.68,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,97
1976,August,160.11,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1817
1976,July,159.72,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1818
1984,M01,436.02,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,99
1976,May,137.20,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1820
1982,M01,399.47,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,101
1976,March,130.82,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1822
1980,M01,361.55,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,103
1975,Annual Average,128.73,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1824
1978,M01,311.26,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,105
1975,November,126.86,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1826
1976,M01,274.28,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,107
1975,September,124.44,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1828
1974,M01,244.39,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,109
1975,July,147.55,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1830
1972,M01,213.68,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000030,S,1972,M01,2015,October,111
1975,May,129.96,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1832
1988,M01,612.07,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,113
1975,March,125.65,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1834
1986,M01,579.76,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,115
1974,Annual Average,118.03,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1836
1984,M01,526.16,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,117
1974,November,119.81,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1838
1982,M01,472.04,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,119
1981,M01,420.45,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,120
1974,September,124.36,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1840
1979,M01,368.68,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,122
1974,July,144.18,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1842
1977,M01,313.75,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,124
1974,May,117.71,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1844
1975,M01,271.58,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,126
1974,March,112.06,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1846
1973,M01,240.70,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,128
1972,M01,225.23,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000030,S,1972,M01,2015,October,129
1973,December,109.60,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1849
1988,M01,243.05,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,131
1987,M01,235.15,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,132
1973,September,106.30,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1852
1973,August,120.65,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1853
1984,M01,204.45,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,135
1983,M01,188.45,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,136
1973,June,107.36,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1855
1981,M01,172.98,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,138
1973,April,101.53,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1857
1979,M01,153.00,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,140
1973,February,101.66,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1859
1977,M01,132.41,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,142
