year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1972,October,40.1,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1930
1972,November,40.0,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1931
1989,M01,44.1,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,826
1973,February,40.1,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1933
1986,M01,47.2,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,828
1973,April,40.1,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1935
1978,M01,43.3,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,836
1973,November,40.2,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1942
1974,M01,43.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,838
1973,December,40.0,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1943
1973,M01,42.3,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,839
1974,February,40.0,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1944
1972,M01,43.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,840
1974,March,39.9,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1945
1982,M01,43.6,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,841
1974,April,39.0,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1946
1988,M01,43.3,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100007,U,1972,M01,2015,September,842
1974,May,39.8,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1947
1974,June,39.7,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1948
1979,M01,245.47,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,844
1974,August,39.7,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1950
1975,M01,123.84,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,846
1974,October,39.6,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1952
1983,M01,421.16,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,848
1974,December,39.1,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1954
1977,M01,177.07,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,850
1975,March,38.3,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1956
1989,M01,523.47,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,852
1975,May,38.8,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1958
1986,M01,509.76,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,854
